Title,Album,PredictedAlbum
Tim McGraw,Taylor Swift (Debut),9.0
Picture to Burn,Taylor Swift (Debut),9.0
Teardrops on My Guitar,Taylor Swift (Debut),2.0
A Place in This World,Taylor Swift (Debut),4.0
Cold as You,Taylor Swift (Debut),9.0
The Outside,Taylor Swift (Debut),4.0
Tied Together with a Smile,Taylor Swift (Debut),9.0
Stay Beautiful,Taylor Swift (Debut),2.0
Should’ve Said No,Taylor Swift (Debut),4.0
Mary’s Song (Oh My My My),Taylor Swift (Debut),9.0
Our Song,Taylor Swift (Debut),9.0
I’m Only Me When I’m with You,Taylor Swift (Debut),2.0
Invisible,Taylor Swift (Debut),4.0
Fearless (Taylor’s Version),Fearless (Taylor’s Version),9.0
Fifteen (Taylor’s Version),Fearless (Taylor’s Version),4.0
Love Story (Taylor’s Version),Fearless (Taylor’s Version),3.0
Hey Stephen (Taylor’s Version),Fearless (Taylor’s Version),2.0
White Horse (Taylor’s Version),Fearless (Taylor’s Version),9.0
You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),4.0
Breathe (Taylor’s Version),Fearless (Taylor’s Version),2.0
Tell Me Why (Taylor’s Version),Fearless (Taylor’s Version),2.0
You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Way I Loved You (Taylor’s Version),Fearless (Taylor’s Version),2.0
Forever & Always (Taylor’s Version),Fearless (Taylor’s Version),2.0
The Best Day (Taylor’s Version),Fearless (Taylor’s Version),9.0
Change (Taylor’s Version),Fearless (Taylor’s Version),2.0
Mine (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Sparks Fly (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Back To December (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Speak Now (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Dear John (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Mean (Taylor’s Version),Speak Now (Taylor’s Version),2.0
The Story Of Us (Taylor’s Version),Speak Now (Taylor’s Version),4.0
Never Grow Up (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Enchanted (Taylor’s Version),Speak Now (Taylor’s Version),3.0
Better Than Revenge (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Innocent (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Haunted (Taylor’s Version),Speak Now (Taylor’s Version),2.0
Last Kiss (Taylor’s Version),Speak Now (Taylor’s Version),9.0
Long Live (Taylor’s Version),Speak Now (Taylor’s Version),9.0
State Of Grace (Taylor’s Version),Red (Taylor’s Version),9.0
Red (Taylor’s Version),Red (Taylor’s Version),9.0
Treacherous (Taylor’s Version),Red (Taylor’s Version),9.0
I Knew You Were Trouble (Taylor’s Version),Red (Taylor’s Version),4.0
All Too Well (Taylor’s Version),Red (Taylor’s Version),9.0
22 (Taylor’s Version),Red (Taylor’s Version),2.0
I Almost Do (Taylor’s Version),Red (Taylor’s Version),4.0
We Are Never Ever Getting Back Together (Taylor’s Version),Red (Taylor’s Version),4.0
Stay Stay Stay (Taylor’s Version),Red (Taylor’s Version),4.0
The Last Time (Taylor’s Version),Red (Taylor’s Version),4.0
Holy Ground (Taylor’s Version),Red (Taylor’s Version),4.0
Sad Beautiful Tragic (Taylor’s Version),Red (Taylor’s Version),4.0
The Lucky One (Taylor’s Version),Red (Taylor’s Version),9.0
Everything Has Changed (Taylor’s Version),Red (Taylor’s Version),4.0
Starlight (Taylor’s Version),Red (Taylor’s Version),4.0
Begin Again (Taylor’s Version),Red (Taylor’s Version),4.0
Welcome To New York,1989 (Deluxe),4.0
Blank Space,1989 (Deluxe),3.0
Style,1989 (Deluxe),9.0
Out Of The Woods,1989 (Deluxe),5.0
All You Had To Do Was Stay,1989 (Deluxe),4.0
Shake It Off,1989 (Deluxe),5.0
I wish You Would,1989 (Deluxe),5.0
Bad Blood,1989 (Deluxe),5.0
Wildest Dreams,1989 (Deluxe),3.0
How You Get The Girl,1989 (Deluxe),4.0
This Love,1989 (Deluxe),4.0
I Know Places,1989 (Deluxe),9.0
Clean,1989 (Deluxe),5.0
...Ready For It?,reputation,9.0
End Game,reputation,5.0
I Did Something Bad,reputation,2.0
Don’t Blame Me,reputation,3.0
Delicate,reputation,6.0
Look What You Made Me Do,reputation,6.0
So It Goes…,reputation,9.0
Gorgeous,reputation,2.0
Getaway Car,reputation,9.0
King Of My Heart,reputation,3.0
Dancing With Our Hands Tied,reputation,4.0
Dress,reputation,9.0
This Is Why We Can’t Have Nice Things,reputation,2.0
Call It What You Want,reputation,9.0
New Year’s Day,reputation,9.0
I Forgot That You Existed,Lover,4.0
Cruel Summer,Lover,9.0
Lover,Lover,9.0
The Man,Lover,9.0
The Archer,Lover,9.0
I Think He Knows,Lover,4.0
Miss Americana & The Heartbreak Prince,Lover,2.0
Paper Rings,Lover,9.0
Cornelia Street,Lover,9.0
Death By a Thousand Cuts,Lover,9.0
London Boy,Lover,3.0
Soon You’ll Get Better,Lover,7.0
False God,Lover,3.0
You Need To Calm Down,Lover,4.0
Afterglow,Lover,2.0
ME!,Lover,5.0
It’s Nice To Have A Friend,Lover,9.0
Daylight,Lover,9.0
the 1,folklore,4.0
cardigan,folklore,9.0
the last great american dinasty,folklore,9.0
exile,folklore,4.0
my tears ricochet,folklore,9.0
mirrorball,folklore,6.0
seven,folklore,3.0
august,folklore,9.0
this is me trying,folklore,4.0
illicit affairs,folklore,9.0
invisible string,folklore,9.0
mad woman,folklore,3.0
epiphany,folklore,9.0
betty,folklore,4.0
peace,folklore,9.0
hoax,folklore,9.0
willow,evermore,9.0
champagne problems,evermore,9.0
gold rush,evermore,9.0
'tis the damn season,evermore,9.0
tolerate it,evermore,9.0
"no body, no crime",evermore,9.0
happiness,evermore,9.0
dorothea,evermore,2.0
coney island,evermore,9.0
ivy,evermore,9.0
cowboy like me,evermore,5.0
long story short,evermore,9.0
marjorie,evermore,9.0
closure,evermore,9.0
evermore,evermore,9.0
Lavender Haze,Midnights,3.0
Maroon,Midnights,9.0
Anti-Hero,Midnights,9.0
Snow On The Beach,Midnights,10.0
You’re On Your Own Kid,Midnights,9.0
Midnight Rain,Midnights,9.0
Question…?,Midnights,4.0
Vigilante Shit,Midnights,3.0
Bejeweled,Midnights,6.0
Labyrinth,Midnights,4.0
Karma,Midnights,10.0
Sweet Nothing,Midnights,4.0
Mastermind,Midnights,4.0
